RECORDING_SESSION_LABEL;TRIAL_INDEX;CURRENT_FIX_DURATION;CURRENT_FIX_INDEX;CURRENT_FIX_INTEREST_AREAS;CURRENT_FIX_START;TRIAL_FIXATION_TOTAL;TRIAL_LABEL;VIDEO_NAME_END;VIDEO_NAME_START;video_clip;ROIfundo;ROIfrente
adam;1;221;1;[ ];7;10;Trial: 1;EstrelinhasR640x680.avi;.;B1.avi;;
adam;1;249;2;[ ];289;10;Trial: 1;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;B1.avi;;
adam;1;219;3;[ ];558;10;Trial: 1;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;B1.avi;;
adam;1;4740;4;[ ];808;10;Trial: 1;B1.avi;EstrelinhasR640x680.avi;B1.avi;;
adam;1;272;5;[ ];5576;10;Trial: 1;B1.avi;B1.avi;B1.avi;;
adam;1;386;6;[ ];5859;10;Trial: 1;B1.avi;B1.avi;B1.avi;;
adam;1;313;7;[ ];6281;10;Trial: 1;B1.avi;B1.avi;B1.avi;;
adam;1;4007;8;[ ];6600;10;Trial: 1;B1.avi;B1.avi;B1.avi;;
adam;1;233;9;[ ];10633;10;Trial: 1;B1.avi;B1.avi;B1.avi;;
adam;1;243;10;[ ];10877;10;Trial: 1;B1.avi;B1.avi;B1.avi;;
adam;2;107;1;[ ];7;8;Trial: 2;EstrelinhasR640x680.avi;.;B2.avi;;
adam;2;554;2;[ ];154;8;Trial: 2;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;B2.avi;;
adam;2;1195;3;[ ];754;8;Trial: 2;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;B2.avi;;
adam;2;4222;4;[ ];1960;8;Trial: 2;B2.avi;EstrelinhasR640x680.avi;B2.avi;;
adam;2;516;5;[ ];6202;8;Trial: 2;B2.avi;B2.avi;B2.avi;;
adam;2;2394;6;[ ];6748;8;Trial: 2;B2.avi;B2.avi;B2.avi;;
adam;2;1127;7;[ ];9152;8;Trial: 2;B2.avi;B2.avi;B2.avi;;
adam;2;821;8;[ ];10304;8;Trial: 2;B2.avi;B2.avi;B2.avi;;
adam;3;127;1;[ ];7;7;Trial: 3;EstrelinhasR640x680.avi;.;B5.avi;;
adam;3;543;2;[ ];142;7;Trial: 3;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;B5.avi;;
adam;3;6953;3;[ ];730;7;Trial: 3;B5.avi;EstrelinhasR640x680.avi;B5.avi;;
adam;3;2347;4;[ ];7691;7;Trial: 3;B5.avi;B5.avi;B5.avi;;
adam;3;408;5;[ ];10067;7;Trial: 3;B5.avi;B5.avi;B5.avi;;
adam;3;580;6;[ ];10485;7;Trial: 3;B5.avi;B5.avi;B5.avi;;
adam;3;40;7;[ ];11079;7;Trial: 3;B5.avi;B5.avi;B5.avi;;
