"","RECORDING_SESSION_LABEL","TRIAL_INDEX","CURRENT_FIX_DURATION","CURRENT_FIX_INDEX","CURRENT_FIX_INTEREST_AREAS","CURRENT_FIX_START","TRIAL_FIXATION_TOTAL","TRIAL_LABEL","VIDEO_NAME_END","VIDEO_NAME_START","video_clip","ROIfundo","ROIfrente","anchor_time","correction_time"
"1","adam",1,221,1,"[ ]",7,10,"Trial: 1","EstrelinhasR640x680.avi",".","B1.avi",NA,NA,-801,808
"2","adam",1,249,2,"[ ]",289,10,"Trial: 1","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi","B1.avi",NA,NA,-519,808
"3","adam",1,219,3,"[ ]",558,10,"Trial: 1","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi","B1.avi",NA,NA,-250,808
"4","adam",1,4740,4,"[ ]",808,10,"Trial: 1","B1.avi","EstrelinhasR640x680.avi","B1.avi",NA,NA,0,808
"5","adam",1,272,5,"[ ]",5576,10,"Trial: 1","B1.avi","B1.avi","B1.avi",NA,NA,4768,808
"6","adam",1,386,6,"[ ]",5859,10,"Trial: 1","B1.avi","B1.avi","B1.avi",NA,NA,5051,808
"7","adam",1,313,7,"[ ]",6281,10,"Trial: 1","B1.avi","B1.avi","B1.avi",NA,NA,5473,808
"8","adam",1,4007,8,"[ ]",6600,10,"Trial: 1","B1.avi","B1.avi","B1.avi",NA,NA,5792,808
"9","adam",1,233,9,"[ ]",10633,10,"Trial: 1","B1.avi","B1.avi","B1.avi",NA,NA,9825,808
"10","adam",1,243,10,"[ ]",10877,10,"Trial: 1","B1.avi","B1.avi","B1.avi",NA,NA,10069,808
"11","adam",10,224,1,"[ ]",9,7,"Trial: 10","EstrelinhasR640x680.avi",".","D7.avi",NA,NA,-4641,4650
"12","adam",10,386,2,"[ ]",255,7,"Trial: 10","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi","D7.avi",NA,NA,-4395,4650
"13","adam",10,3293,3,"[ ]",686,7,"Trial: 10","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi","D7.avi",NA,NA,-3964,4650
"14","adam",10,578,4,"[ ]",4023,7,"Trial: 10","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi","D7.avi",NA,NA,-627,4650
"15","adam",10,712,5,"[ ]",4650,7,"Trial: 10","D7.avi","EstrelinhasR640x680.avi","D7.avi",NA,NA,0,4650
"16","adam",10,2818,6,"[ ]",5376,7,"Trial: 10","D7.avi","D7.avi","D7.avi",NA,NA,726,4650
"17","adam",10,608,7,"[ ]",8200,7,"Trial: 10","D7.avi","D7.avi","D7.avi",NA,NA,3550,4650
"18","adam",11,368,1,"[ 4]",125,9,"Trial: 11","A1.avi","EstrelinhasR640x680.avi","A1.avi",4,7,0,125
"19","adam",11,586,2,"[ ]",531,9,"Trial: 11","A1.avi","A1.avi","A1.avi",NA,NA,406,125
"20","adam",11,143,3,"[ 2]",4178,9,"Trial: 11","A1.avi","A1.avi","A1.avi",2,NA,4053,125
"21","adam",11,129,4,"[ 4]",4327,9,"Trial: 11","A1.avi","A1.avi","A1.avi",4,NA,4202,125
"22","adam",11,147,5,"[ 6]",4507,9,"Trial: 11","A1.avi","A1.avi","A1.avi",6,NA,4382,125
"23","adam",11,60,6,"[ 6]",4707,9,"Trial: 11","A1.avi","A1.avi","A1.avi",6,NA,4582,125
"24","adam",11,562,7,"[ 4]",5551,9,"Trial: 11","A1.avi","A1.avi","A1.avi",4,NA,5426,125
"25","adam",11,297,8,"[ 4]",6133,9,"Trial: 11","A1.avi","A1.avi","A1.avi",4,NA,6008,125
"26","adam",11,35,9,"[ 2]",6444,9,"Trial: 11","A1.avi","A1.avi","A1.avi",2,NA,6319,125
"27","adam",12,99,1,"[ ]",23,13,"Trial: 12","EstrelinhasR640x680.avi",".","A2.avi",NA,NA,-3592,3615
"28","adam",12,54,2,"[ ]",248,13,"Trial: 12","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi","A2.avi",NA,NA,-3367,3615
"29","adam",12,197,3,"[ ]",465,13,"Trial: 12","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi","A2.avi",NA,NA,-3150,3615
"30","adam",12,76,4,"[ ]",764,13,"Trial: 12","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi","A2.avi",NA,NA,-2851,3615
"31","adam",12,222,5,"[ ]",944,13,"Trial: 12","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi","A2.avi",NA,NA,-2671,3615
"32","adam",12,380,6,"[ ]",1263,13,"Trial: 12","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi","A2.avi",NA,NA,-2352,3615
"33","adam",12,1942,7,"[ ]",1659,13,"Trial: 12","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi","A2.avi",NA,NA,-1956,3615
"34","adam",12,4062,8,"[ ]",3615,13,"Trial: 12","A2.avi","EstrelinhasR640x680.avi","A2.avi",NA,NA,0,3615
"35","adam",12,1312,9,"[ ]",7692,13,"Trial: 12","A2.avi","A2.avi","A2.avi",NA,NA,4077,3615
"36","adam",12,760,10,"[ ]",9015,13,"Trial: 12","A2.avi","A2.avi","A2.avi",NA,NA,5400,3615
