"","crianca","video","frente","fundo","errado"
"1","adam","A1",0,0,0
"2","adam","A2",0,0,0
"3","adam","A3",0,0,0
"4","adam","A4",0,0,0
"5","adam","A6",0,0,0
"6","adam","B1",0,0,0
"7","adam","B2",0,0,0
"8","adam","B5",0,0,0
"9","adam","B6",0,0,0
"10","adam","B7",0,0,0
"11","adam","D1",0,0,0
"12","adam","D2",0,0,0
"13","adam","D4",0,0,0
"14","adam","D5",0,0,0
"15","adam","D7",0,0,0
"16","agatha","B1",0,0,0
"17","ana","A1",0,1,1
"18","ana","A3",0,1,1
"19","ana","A4",0,1,1
"20","ana","A6",0,1,1
"21","ana","B1",0,1,1
"22","ana","B2",1,1,1
"23","ana","B5",1,1,1
"24","ana","B6",0,1,1
"25","ana","B7",0,1,1
"26","ana","D1",0,1,1
"27","ana","D7",0,1,1
"28","andre2t","A3",0,0,0
"29","andre2t","A4",0,0,0
"30","andre2t","B1",0,1,1
"31","andre2t","B2",0,0,0
"32","andre2t","B6",0,0,0
"33","andre2t","B7",0,0,0
"34","andre2t","D1",0,1,1
"35","andre2t","D2",0,1,1
"36","andre2t","D4",0,0,0
"37","andre2t","D5",0,0,0
"38","andre2t","D7",0,1,1
"39","anelise","A1",0,1,1
"40","anelise","A2",1,1,1
"41","anelise","A3",0,1,1
"42","anelise","A4",0,1,1
"43","anelise","A6",1,0,0
"44","anelise","B1",0,1,1
"45","anelise","B2",1,1,1
"46","anelise","B5",1,1,1
"47","anelise","B6",0,1,1
"48","anelise","B7",0,1,1
"49","anelise","D1",0,1,1
"50","anelise","D2",1,1,1
"51","anelise","D4",1,0,0
"52","anelise","D7",0,1,1
"53","anili.2","A1",0,1,1
"54","anili.2","A2",1,1,1
"55","anili.2","A3",0,1,1
"56","anili.2","A6",1,1,1
"57","anili.2","B1",0,1,1
"58","anili.2","B2",1,1,1
"59","anili.2","B5",1,1,1
"60","anili.2","B6",0,1,1
"61","anili.2","B7",1,1,1
"62","anili.2","D1",0,1,1
"63","anili.2","D2",1,0,0
"64","anili.2","D4",0,1,1
"65","anili.2","D5",0,1,1
"66","anili.2","D7",0,1,1
"67","anne","A1",0,1,1
"68","anne","A2",0,0,0
"69","anne","A3",0,0,0
"70","anne","A4",0,1,1
"71","anne","A6",0,0,0
"72","anne","B1",0,0,0
"73","anne","B7",0,0,0
"74","anne","D1",0,0,0
"75","anne","D2",0,0,0
"76","anne","D4",1,1,1
"77","anne","D5",1,0,0
"78","anne","D7",0,1,1
"79","arthur","A2",0,0,0
"80","arthur","A3",0,0,0
"81","arthur","B1",0,0,0
"82","arthur","D7",0,0,0
"83","asafe.2","A1",0,1,1
"84","asafe.2","A2",0,1,1
"85","asafe.2","A3",0,1,1
"86","asafe.2","A4",1,1,1
"87","asafe.2","A6",1,1,1
"88","asafe.2","B1",0,1,1
"89","asafe.2","B2",0,1,1
"90","asafe.2","B5",1,1,1
"91","asafe.2","B6",0,1,1
"92","asafe.2","B7",0,1,1
"93","asafe.2","D1",0,1,1
"94","asafe.2","D2",0,1,1
"95","asafe.2","D4",0,1,1
"96","asafe.2","D5",1,1,1
"97","asafe.2","D7",0,1,1
