"","V1","crianca","time","parte","video","roi_frente_empirico","roi_fundo_empirico","roi_alvo_fundo","roi_alvo_frente","roi_nao_alvo","acerto_frente","acerto_fundo","olhou_pro_errado","referencia"
"1",1,"adam",0,"pre_cruz","A1",7,4,3,8,7,0,0,1,"RJA - olhar pra direita (adulto)"
"2",2,"adam",406,"pre_cruz","A1",NA,NA,3,8,7,0,0,0,"RJA - olhar pra direita (adulto)"
"3",3,"adam",4053,"cruz","A1",NA,2,3,8,7,0,0,0,"RJA - olhar pra direita (adulto)"
"4",4,"adam",4202,"cruz","A1",NA,4,3,8,7,0,0,0,"RJA - olhar pra direita (adulto)"
"5",5,"adam",4382,"pos_cruz","A1",NA,6,3,8,7,0,0,0,"RJA - olhar pra direita (adulto)"
"6",6,"adam",4582,"pos_cruz","A1",NA,6,3,8,7,0,0,0,"RJA - olhar pra direita (adulto)"
"7",7,"adam",5426,"pos_cruz","A1",NA,4,3,8,7,0,0,0,"RJA - olhar pra direita (adulto)"
"8",8,"adam",6008,"pos_cruz","A1",NA,4,3,8,7,0,0,0,"RJA - olhar pra direita (adulto)"
"9",9,"adam",6319,"pos_cruz","A1",NA,2,3,8,7,0,0,0,"RJA - olhar pra direita (adulto)"
"10",10,"ana",-242,"pre_cruz","A1",NA,4,3,8,7,0,0,0,"RJA - olhar pra direita (adulto)"
"11",11,"ana",0,"pre_cruz","A1",NA,4,3,8,7,0,0,0,"RJA - olhar pra direita (adulto)"
"12",12,"ana",4936,"pos_cruz","A1",NA,3,3,8,7,0,1,0,"RJA - olhar pra direita (adulto)"
"13",13,"ana",5410,"pos_cruz","A1",NA,3,3,8,7,0,1,0,"RJA - olhar pra direita (adulto)"
"14",14,"andre2t",0,"pre_cruz","A1",NA,3,3,8,7,0,1,0,"RJA - olhar pra direita (adulto)"
"15",15,"andre2t",502,"pre_cruz","A1",NA,5,3,8,7,0,0,0,"RJA - olhar pra direita (adulto)"
"16",16,"andre2t",713,"pre_cruz","A1",NA,5,3,8,7,0,0,0,"RJA - olhar pra direita (adulto)"
"17",17,"andre2t",3197,"pre_cruz","A1",NA,5,3,8,7,0,0,0,"RJA - olhar pra direita (adulto)"
"18",18,"anelise",-514,"pre_cruz","A1",NA,3,3,8,7,0,1,0,"RJA - olhar pra direita (adulto)"
"19",19,"anelise",-460,"pre_cruz","A1",NA,3,3,8,7,0,1,0,"RJA - olhar pra direita (adulto)"
"20",20,"anelise",-256,"pre_cruz","A1",NA,3,3,8,7,0,1,0,"RJA - olhar pra direita (adulto)"
"21",21,"anelise",0,"pre_cruz","A1",NA,3,3,8,7,0,1,0,"RJA - olhar pra direita (adulto)"
"22",22,"anelise",394,"pre_cruz","A1",NA,3,3,8,7,0,1,0,"RJA - olhar pra direita (adulto)"
"23",23,"anelise",462,"pre_cruz","A1",NA,3,3,8,7,0,1,0,"RJA - olhar pra direita (adulto)"
"24",24,"anelise",696,"pre_cruz","A1",NA,3,3,8,7,0,1,0,"RJA - olhar pra direita (adulto)"
"25",25,"anelise",956,"pre_cruz","A1",NA,3,3,8,7,0,1,0,"RJA - olhar pra direita (adulto)"
"26",26,"anelise",1150,"pre_cruz","A1",NA,3,3,8,7,0,1,0,"RJA - olhar pra direita (adulto)"
"27",27,"anelise",1458,"pre_cruz","A1",NA,3,3,8,7,0,1,0,"RJA - olhar pra direita (adulto)"
