"","crianca","video","frente_fundo","fundo_frente","fundo_errado","errado_fundo","frente_errado","errado_frente","olhou_pro_errado","acerto_frente","indice_alternancia_rja","indice_alternancia_ija","indice_alternancia_objeto","total_acerto_frente","total_olhou_errado","fixation_acerto_frente","fixation_olhou_pro_errado","indice_acerto","condicao","pre_pos"
"1","adam","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"2","adam","A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"3","adam","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"4","adam","A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"5","adam","B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"6","adam","B5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"7","adam","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"8","adam","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"9","adam","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"10","adam","D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"11","adam","D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"12","adam","D5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"13","ana","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"14","ana","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"15","ana","A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"16","ana","B2",0,1,0,0,0,0,0,1,1,0,0,374,0,374,0,1,"ija","-"
"17","ana","B5",1,1,0,0,0,0,0,1,1,1,0,350,0,350,0,1,"ija","-"
"18","ana","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"19","ana","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"20","ana","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"21","andre2t","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"22","andre2t","B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"23","andre2t","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"24","andre2t","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"25","andre2t","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"26","andre2t","D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"27","andre2t","D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"28","andre2t","D5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"29","anelise","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"30","anelise","A2",1,1,0,0,0,0,0,1,1,1,0,422,0,422,0,1,"ija","0"
"31","anelise","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"32","anelise","A6",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"ija","0"
"33","anelise","B2",0,1,0,0,0,0,0,1,1,0,0,790,0,790,0,1,"ija","0"
"34","anelise","B5",0,1,0,0,0,0,0,1,1,0,0,790,0,340,0,1,"ija","0"
"35","anelise","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"36","anelise","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"37","anelise","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"38","anelise","D2",0,1,0,0,0,0,0,1,1,0,0,588,0,588,0,1,"ija","0"
"39","anelise","D4",0,0,0,0,0,0,0,1,0,0,0,116,0,116,0,1,"rja","0"
"40","anili.2","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"41","anili.2","A2",0,1,0,0,0,0,0,1,1,0,0,698,0,386,0,1,"ija","1"
