"","video","crianca","parte","fixacoes","acerto_fundo","acerto_frente","olhou_pro_errado"
"1","A1","adam","cruz",2,0,0,0
"2","A1","adam","pos_cruz",5,0,0,0
"3","A1","adam","pre_cruz",2,0,0,1
"4","A1","ana","pos_cruz",2,2,0,0
"5","A1","ana","pre_cruz",2,0,0,0
"6","A1","andre2t","pre_cruz",4,1,0,0
"7","A1","anelise","pos_cruz",4,4,0,0
"8","A1","anelise","pre_cruz",11,11,0,0
"9","A1","anili.2","cruz",2,2,0,0
"10","A1","anili.2","pos_cruz",2,2,0,0
"11","A1","anili.2","pre_cruz",8,7,1,0
"12","A1","anne","cruz",1,1,0,0
"13","A1","anne","pos_cruz",4,3,0,0
"14","A1","anne","pre_cruz",16,2,0,2
"15","A1","arthur","pre_cruz",1,0,0,0
"16","A1","asafe.2","cruz",3,2,0,0
"17","A1","asafe.2","pos_cruz",2,2,0,0
"18","A1","asafe.2","pre_cruz",7,6,0,0
"19","A1","ayla","cruz",1,0,0,1
"20","A1","ayla","pos_cruz",2,2,0,0
"21","A1","ayla","pre_cruz",4,4,0,0
"22","A1","ayla.2","cruz",1,1,0,0
"23","A1","ayla.2","pos_cruz",1,1,0,0
"24","A1","ayla.2","pre_cruz",7,5,0,0
"25","A1","bernardo","pre_cruz",10,5,0,4
"26","A1","cecilia","pos_cruz",2,2,0,0
"27","A1","cecilia","pre_cruz",5,5,0,0
"28","A1","clari.2","pos_cruz",2,2,0,0
"29","A1","clari.2","pre_cruz",7,6,1,0
"30","A1","clarice","cruz",1,0,0,0
"31","A1","clarice","pos_cruz",2,1,0,0
"32","A1","clarice","pre_cruz",7,3,0,1
"33","A1","diana","cruz",1,1,0,0
"34","A1","diana","pos_cruz",2,2,0,0
"35","A1","diana","pre_cruz",22,17,2,0
"36","A1","edu.2","pos_cruz",1,1,0,0
"37","A1","edu.2","pre_cruz",6,4,1,0
"38","A1","emanuela","pos_cruz",1,1,0,0
"39","A1","emanuela","pre_cruz",7,6,0,0
"40","A1","emanuele","pos_cruz",2,2,0,0
"41","A1","emanuele","pre_cruz",6,5,1,0
"42","A1","ernesto","pos_cruz",1,1,0,0
"43","A1","ernesto","pre_cruz",6,4,1,0
"44","A1","everton","cruz",2,2,0,0
"45","A1","everton","pos_cruz",5,4,1,0
"46","A1","everton","pre_cruz",13,13,0,0
"47","A1","felipe","pre_cruz",4,0,0,1
"48","A1","fidel","pos_cruz",1,1,0,0
"49","A1","fidel","pre_cruz",34,32,0,2
"50","A1","franc","cruz",1,1,0,0
"51","A1","franc","pos_cruz",1,1,0,0
"52","A1","franc","pre_cruz",6,2,1,0
"53","A1","gabi21t","cruz",3,0,0,0
"54","A1","gabi21t","pos_cruz",1,0,0,0
"55","A1","gabi21t","pre_cruz",26,0,0,0
"56","A1","gabif.2","pos_cruz",2,2,0,0
"57","A1","gabif.2","pre_cruz",10,4,4,0
"58","A1","gabrielaf","pre_cruz",7,1,5,1
"59","A1","gui","pos_cruz",1,1,0,0
"60","A1","gui","pre_cruz",6,4,1,0
"61","A1","gui.2","pos_cruz",3,3,0,0
"62","A1","gui.2","pre_cruz",6,6,0,0
"63","A1","heitor","pos_cruz",1,1,0,0
"64","A1","heitor","pre_cruz",6,6,0,0
"65","A1","heitor.2","cruz",1,1,0,0
"66","A1","heitor.2","pos_cruz",4,4,0,0
"67","A1","heitor.2","pre_cruz",7,5,0,0
"68","A1","heitorm","cruz",1,1,0,0
"69","A1","heitorm","pos_cruz",1,1,0,0
"70","A1","heitorm","pre_cruz",5,4,0,0
"71","A1","ingrid","pos_cruz",6,0,0,0
"72","A1","ingrid","pre_cruz",4,0,0,0
"73","A1","ingrid.2","pos_cruz",1,1,0,0
"74","A1","ingrid.2","pre_cruz",5,3,2,0
"75","A1","isabela","cruz",1,0,0,0
"76","A1","isabela","pos_cruz",2,2,0,0
"77","A1","isabela","pre_cruz",6,2,2,0
"78","A1","isabelly","cruz",2,2,0,0
"79","A1","isabelly","pre_cruz",7,7,0,0
"80","A1","joaop","cruz",1,1,0,0
"81","A1","joaop","pos_cruz",2,0,0,1
"82","A1","joaop","pre_cruz",4,4,0,0
"83","A1","leonardo","cruz",1,1,0,0
"84","A1","leonardo","pos_cruz",1,1,0,0
"85","A1","leonardo","pre_cruz",5,4,0,0
"86","A1","lis","pos_cruz",1,0,0,0
"87","A1","lis","pre_cruz",11,2,0,0
"88","A1","livia","pos_cruz",1,1,0,0
"89","A1","livia","pre_cruz",9,5,4,0
"90","A1","livia.2","cruz",1,1,0,0
"91","A1","livia.2","pos_cruz",2,2,0,0
"92","A1","livia.2","pre_cruz",5,5,0,0
"93","A1","lorena","pos_cruz",3,2,0,1
"94","A1","lorena","pre_cruz",5,5,0,0
"95","A1","lucas.2","pre_cruz",5,4,0,0
"96","A1","lui","cruz",1,1,0,0
"97","A1","lui","pos_cruz",3,1,0,1
"98","A1","lui","pre_cruz",6,3,0,1
"99","A1","luiso","pre_cruz",10,0,0,1
"100","A1","manu.2","cruz",1,1,0,0
"101","A1","manu.2","pos_cruz",3,3,0,0
"102","A1","manu.2","pre_cruz",6,5,1,0
"103","A1","manuela","pos_cruz",1,0,0,0
"104","A1","manuela","pre_cruz",2,0,0,0
"105","A1","manuella","cruz",1,1,0,0
"106","A1","manuella","pos_cruz",2,1,0,0
"107","A1","manuella","pre_cruz",17,12,0,0
"108","A1","marcos","pos_cruz",3,3,0,0
"109","A1","marcos","pre_cruz",14,9,1,0
"110","A1","marialu","pre_cruz",6,3,0,0
"111","A1","maril.2","pos_cruz",3,3,0,0
"112","A1","maril.2","pre_cruz",5,4,1,0
"113","A1","miguel","pre_cruz",22,10,1,0
"114","A1","miguel3","cruz",2,2,0,0
"115","A1","miguel3","pos_cruz",1,1,0,0
"116","A1","miguel3","pre_cruz",9,7,1,0
"117","A1","murilo","pos_cruz",7,3,0,0
"118","A1","murilo","pre_cruz",6,6,0,0
"119","A1","olivia","pre_cruz",7,5,1,0
"120","A1","paulo","cruz",1,0,1,0
"121","A1","paulo","pos_cruz",4,1,1,0
"122","A1","paulo","pre_cruz",12,1,2,2
"123","A1","pedro","cruz",1,0,0,0
"124","A1","pedro","pos_cruz",4,0,1,0
"125","A1","pedro","pre_cruz",5,0,1,0
"126","A1","pedro2","pos_cruz",2,1,0,0
"127","A1","pedro2","pre_cruz",7,6,0,0
"128","A1","rafa.2","pos_cruz",1,0,1,0
"129","A1","rafa.2","pre_cruz",7,1,4,0
"130","A1","rafael","pre_cruz",14,9,0,1
"131","A1","ruben","cruz",1,1,0,0
"132","A1","ruben","pos_cruz",1,1,0,0
"133","A1","ruben","pre_cruz",5,5,0,0
"134","A1","sarah","pos_cruz",2,1,0,0
"135","A1","sarah","pre_cruz",5,2,0,0
"136","A1","sarah.2","pos_cruz",3,2,0,0
"137","A1","sarah.2","pre_cruz",3,2,0,0
"138","A1","teofinal","cruz",1,0,0,0
"139","A1","teofinal","pos_cruz",3,2,0,0
"140","A1","teofinal","pre_cruz",6,5,0,0
"141","A1","theo","cruz",1,1,0,0
"142","A1","theo","pos_cruz",4,2,0,1
"143","A1","theo","pre_cruz",5,5,0,0
"144","A1","valen","pos_cruz",1,1,0,0
"145","A1","valen","pre_cruz",4,4,0,0
"146","A1","yara","cruz",1,1,0,0
"147","A1","yara","pos_cruz",1,0,1,0
"148","A1","yara","pre_cruz",8,3,2,0
"149","A1","yara.2","cruz",1,1,0,0
"150","A1","yara.2","pos_cruz",1,1,0,0
"151","A1","yara.2","pre_cruz",12,10,0,1
"152","A2","adam","pos_cruz",5,0,0,0
"153","A2","adam","pre_cruz",8,0,0,0
"154","A2","ana","pre_cruz",5,5,0,0
"155","A2","andre2t","pre_cruz",2,1,0,0
"156","A2","anelise","pos_cruz",4,3,1,0
"157","A2","anelise","pre_cruz",9,9,0,0
"158","A2","anili.2","pos_cruz",6,3,2,0
"159","A2","anili.2","pre_cruz",7,6,0,0
"160","A2","anne","cruz",1,0,0,0
"161","A2","anne","pos_cruz",3,0,0,0
"162","A2","anne","pre_cruz",7,0,1,1
"163","A2","arthur","pos_cruz",3,0,0,2
"164","A2","arthur","pre_cruz",1,0,0,0
"165","A2","asafe.2","cruz",1,0,0,0
"166","A2","asafe.2","pos_cruz",3,2,0,1
"167","A2","asafe.2","pre_cruz",4,4,0,0
"168","A2","ayla","cruz",1,1,0,0
"169","A2","ayla","pos_cruz",3,2,1,0
"170","A2","ayla","pre_cruz",4,4,0,0
"171","A2","ayla.2","pos_cruz",2,2,0,0
"172","A2","ayla.2","pre_cruz",8,7,0,0
"173","A2","bernardo","pre_cruz",7,2,0,0
"174","A2","cecilia","cruz",1,1,0,0
"175","A2","cecilia","pos_cruz",2,0,2,0
"176","A2","cecilia","pre_cruz",7,7,0,0
"177","A2","clari.2","pos_cruz",4,1,2,0
"178","A2","clari.2","pre_cruz",6,4,1,1
"179","A2","clarice","cruz",1,1,0,0
"180","A2","clarice","pos_cruz",4,1,2,1
"181","A2","clarice","pre_cruz",7,4,1,0
"182","A2","diana","pre_cruz",3,2,0,0
"183","A2","edu.2","pos_cruz",2,1,1,0
"184","A2","edu.2","pre_cruz",7,7,0,0
"185","A2","emanuela","cruz",2,2,0,0
