"","video_clip","RECORDING_SESSION_LABEL","TRIAL_INDEX","CURRENT_FIX_DURATION","CURRENT_FIX_INDEX","CURRENT_FIX_INTEREST_AREAS","CURRENT_FIX_START","TRIAL_FIXATION_TOTAL","TRIAL_LABEL","VIDEO_NAME_END","VIDEO_NAME_START","ROIfundo","ROIfrente","anchor_time","correction_time","CRUZ_START.x","CRUZ_END.x","parte_trial","CRUZ_START.y","CRUZ_END.y","trial","Estímulo(referencia esq/dir - olhando para tela)","Roi cabeça(fundo)","ROI alvo (frente)","ROI Nalvo (frente)","acerto_fundo","acerto_frente","olhou_pro_errado"
"1","A1","adam",11,368,1,"[ 4]",125,9,"Trial: 11","A1.avi","EstrelinhasR640x680.avi",4,7,0,125,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","TRUE"
"2","A1","adam",11,586,2,"[ ]",531,9,"Trial: 11","A1.avi","A1.avi",NA,NA,406,125,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"3","A1","adam",11,143,3,"[ 2]",4178,9,"Trial: 11","A1.avi","A1.avi",2,NA,4053,125,"3750","4250","cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"4","A1","adam",11,129,4,"[ 4]",4327,9,"Trial: 11","A1.avi","A1.avi",4,NA,4202,125,"3750","4250","cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"5","A1","adam",11,147,5,"[ 6]",4507,9,"Trial: 11","A1.avi","A1.avi",6,NA,4382,125,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"6","A1","adam",11,60,6,"[ 6]",4707,9,"Trial: 11","A1.avi","A1.avi",6,NA,4582,125,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"7","A1","adam",11,562,7,"[ 4]",5551,9,"Trial: 11","A1.avi","A1.avi",4,NA,5426,125,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"8","A1","adam",11,297,8,"[ 4]",6133,9,"Trial: 11","A1.avi","A1.avi",4,NA,6008,125,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"9","A1","adam",11,35,9,"[ 2]",6444,9,"Trial: 11","A1.avi","A1.avi",2,NA,6319,125,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"10","A1","ana",11,220,1,"[ 4]",272,4,"Trial: 11","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi",4,NA,-242,514,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"11","A1","ana",11,466,2,"[ 4]",514,4,"Trial: 11","A1.avi","EstrelinhasR640x680.avi",4,NA,0,514,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
